"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Percentage change (yearly) All property types","Percentage change (yearly) Detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (yearly) Terraced houses","Percentage change (yearly) Flats and maisonettes","Pivotable date"
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2000-01,68031,monthly,14.37,14.39,12.75,13.8,18.66,2000-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2000-02,72364,monthly,15.43,14.7,13.21,15.32,20.88,2000-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2000-03,96354,monthly,16.03,15.51,14.45,15.91,19.91,2000-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2000-04,88707,monthly,17.72,17.4,15.5,16.37,24.99,2000-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2000-05,92309,monthly,17.46,17.46,15.83,16.04,23.32,2000-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2000-06,105431,monthly,17.05,16.07,15.59,15.65,24.02,2000-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2000-07,95400,monthly,16.92,17.74,15.86,14.73,22.2,2000-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2000-08,94346,monthly,16.46,17.15,15.57,13.68,22.75,2000-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2000-09,88148,monthly,14.8,15.55,14.02,13.02,18.59,2000-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2000-10,83099,monthly,13.63,14.8,13.26,11.87,16.11,2000-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2000-11,83309,monthly,12.54,14.3,11.58,9.99,16.77,2000-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2000-12,90823,monthly,12.15,12.91,11.86,10.11,15.35,2000-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2001-01,64870,monthly,12.17,12.09,11.31,11.13,15.87,2001-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2001-02,67134,monthly,11.39,11.97,11.31,9.96,13.52,2001-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2001-03,90226,monthly,10.68,11.13,10.08,9.16,14.09,2001-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2001-04,88556,monthly,9.8,11.49,9.37,8.75,10.21,2001-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2001-05,99478,monthly,10.42,10.45,9.77,9.84,12.61,2001-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2001-06,113447,monthly,10.72,10.94,10.01,10.04,12.95,2001-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2001-07,113200,monthly,10.74,10.29,10.25,10.56,12.57,2001-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2001-08,124849,monthly,11.77,11.45,10.76,12.26,13.03,2001-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2001-09,98296,monthly,12.07,11.88,11.26,12.01,13.92,2001-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2001-10,105633,monthly,13.09,12.38,11.96,13.33,15.65,2001-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2001-11,109149,monthly,13.81,12.57,13.66,14.08,15.33,2001-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2001-12,93329,monthly,14.02,13.77,13.45,13.4,16.63,2001-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2002-01,71678,monthly,14.03,14.29,13.86,13.05,15.96,2002-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2002-02,77131,monthly,14.76,14.61,13.75,14.64,17.0,2002-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2002-03,102828,monthly,16.1,15.47,15.84,15.86,17.9,2002-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2002-04,99638,monthly,15.91,14.68,15.67,15.1,19.77,2002-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2002-05,132163,monthly,17.74,17.1,17.76,17.25,19.6,2002-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2002-06,104285,monthly,18.71,18.45,18.17,18.5,20.41,2002-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2002-07,126475,monthly,20.31,19.72,20.0,20.13,22.07,2002-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2002-08,126360,monthly,20.89,19.83,21.3,20.79,21.89,2002-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2002-09,104054,monthly,21.6,20.4,22.63,21.12,22.43,2002-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2002-10,106125,monthly,23.06,22.36,23.64,22.67,23.84,2002-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2002-11,110850,monthly,24.83,24.72,24.71,24.87,25.12,2002-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2002-12,102070,monthly,24.99,24.02,25.94,25.44,23.8,2002-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2003-01,79926,monthly,26.39,25.25,26.21,27.52,26.06,2003-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2003-02,75657,monthly,25.94,24.6,27.55,25.84,25.24,2003-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2003-03,80112,monthly,24.55,24.42,25.11,24.82,23.23,2003-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2003-04,82897,monthly,24.55,23.75,26.5,25.08,21.29,2003-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2003-05,91813,monthly,22.82,22.63,24.38,23.48,19.12,2003-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2003-06,94507,monthly,21.1,20.54,23.0,21.62,17.63,2003-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2003-07,103522,monthly,20.29,18.34,22.65,21.34,16.87,2003-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2003-08,109995,monthly,18.67,17.37,20.86,19.91,14.29,2003-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2003-09,106682,monthly,17.5,15.88,19.32,19.52,12.7,2003-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2003-10,119798,monthly,17.27,15.03,18.76,19.81,12.85,2003-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2003-11,112141,monthly,15.57,13.18,18.01,17.75,10.51,2003-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2003-12,116105,monthly,15.84,13.07,17.16,18.86,11.54,2003-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2004-01,86697,monthly,14.89,12.7,17.07,16.93,10.23,2004-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2004-02,86512,monthly,15.22,12.8,16.43,18.17,10.57,2004-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2004-03,100342,monthly,15.67,12.58,16.64,18.89,11.67,2004-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2004-04,114092,monthly,16.64,12.29,17.8,21.17,11.73,2004-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2004-05,105117,monthly,17.0,11.96,17.59,21.52,13.78,2004-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2004-06,118877,monthly,18.69,14.06,19.72,22.99,14.52,2004-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2004-07,126778,monthly,18.45,13.99,19.56,22.95,13.98,2004-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2004-08,109199,monthly,18.57,14.44,19.15,22.69,15.19,2004-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2004-09,93996,monthly,18.97,15.16,19.47,22.87,15.77,2004-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2004-10,90273,monthly,17.27,13.48,17.93,20.93,14.21,2004-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2004-11,79540,monthly,16.88,13.06,16.82,20.68,14.64,2004-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2004-12,80888,monthly,15.04,12.18,14.99,18.65,11.64,2004-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2005-01,53464,monthly,13.49,9.96,13.47,17.31,10.86,2005-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2005-02,56044,monthly,13.06,10.03,13.64,16.02,10.41,2005-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2005-03,67322,monthly,11.97,8.9,12.84,14.98,8.85,2005-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2005-04,78958,monthly,9.57,7.23,9.78,11.71,7.96,2005-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2005-05,79951,monthly,8.63,7.93,8.69,10.21,6.48,2005-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2005-06,92080,monthly,6.87,4.6,6.95,9.62,4.3,2005-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2005-07,96925,monthly,5.76,4.15,5.6,7.59,4.51,2005-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2005-08,94592,monthly,4.84,3.56,4.37,6.83,3.43,2005-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2005-09,96191,monthly,4.35,2.19,4.02,6.96,2.63,2005-09-01
